"replication","mse","coverage"
1,0.00278195126140575,1
2,0.0160498998783429,1
3,0.0182245169045359,1
4,0.220722141888835,0.356
5,0.0585859101615256,0.98
6,0.0362278823645692,0.99
7,0.00336968054645318,1
8,0.0603199321530263,0.971
9,0.0564037500779949,0.989
10,0.0295259305689522,0.998
11,0.0555841543920388,0.985
12,0.0208879976520214,0.998
13,0.0316548379395768,0.998
14,0.0308105856881301,1
15,0.0533266003895907,0.975
16,0.117116502655936,0.71
17,0.0278891910566592,0.997
18,0.0310133889776506,0.998
19,0.014626695282493,1
20,0.0262625143281165,1
21,0.0260243112859578,1
22,0.0556430566047994,0.989
23,0.0195636430472602,1
24,0.044321894256475,0.992
25,0.00620639330224439,1
26,0.0590017777062981,0.977
27,0.0116391413787003,1
28,0.00495425285248211,1
29,0.0104199733830214,1
30,0.0553286948417842,0.956
31,0.007621272384955,1
32,0.0580284872289526,0.989
33,0.00551503846889564,1
34,0.0152764101252105,1
35,0.032848589837958,0.992
36,0.0400584465487209,0.995
37,0.0373983104976619,0.997
38,0.0251131300415243,0.998
39,0.0569322303107962,0.987
40,0.0227124097995302,1
41,0.0929677195384093,0.857
42,0.0112482031026458,1
43,0.0348417960676148,0.995
44,0.00552646190476991,1
45,0.0148365497828216,1
46,0.00241303942014629,1
47,0.0103233343599427,1
48,0.16601757410564,0.522
49,0.00712218317524181,1
50,0.0296339567872002,0.997
51,0.0191211511542248,1
52,0.0836579379163314,0.908
53,0.0515926212207622,0.981
54,0.0109748836498571,1
55,0.0202763096594186,0.999
56,0.0236519872850177,0.999
57,0.0122995861482894,1
58,0.0238970341885497,1
59,0.0348443646692899,0.999
60,0.122224959758001,0.753
61,0.0566466742310878,0.956
62,0.0857001065946215,0.935
63,0.0350865745799245,0.998
64,0.0169377952638987,1
65,0.0687665371797581,0.957
66,0.00527677044106081,1
67,0.0101099301767472,1
68,0.0132864525000243,1
69,0.0806539815162745,0.961
70,0.0370786053909527,0.996
71,0.0289943434002517,0.999
72,0.121297176573942,0.665
73,0.013768699692295,1
74,0.0515664918555942,0.986
75,0.0543812709674269,0.971
76,0.00732496548823197,1
77,0.0210272359218499,1
78,0.0334045863687499,0.997
79,0.0911688420588559,0.888
80,0.0225285602262134,1
81,0.0312369711784626,0.996
82,0.0111692427819929,1
83,0.0165783058445228,1
84,0.0141370551899675,1
85,0.0894395188443433,0.899
86,0.00566549203352692,1
87,0.0201402052730331,1
88,0.223202375132905,0.337
89,0.065499977743717,0.968
90,0.0293426558021677,0.999
91,0.0166548171912988,1
92,0.0482341620491322,0.995
93,0.0311391409683509,0.995
94,0.076934172255745,0.969
95,0.0124880252835624,1
