"replication","mse","coverage"
1,0.0569366480838192,0.821
2,0.145541517588002,0.377
3,0.0668214300597689,0.785
4,0.348848461669416,0.036
5,0.133664688737349,0.354
6,0.123726887610726,0.408
7,0.039321638013097,0.867
8,0.116789596798006,0.418
9,0.152500207213076,0.384
10,0.142989479850552,0.376
11,0.106217817272,0.525
12,0.0816032674997547,0.655
13,0.165218635611002,0.384
14,0.133958160358378,0.336
15,0.110504824436911,0.501
16,0.155870657617272,0.245
17,0.121090724981315,0.442
18,0.161195526923132,0.319
19,0.0979565701695387,0.605
20,0.0861106402326733,0.646
21,0.0766172306134734,0.714
22,0.202616938741765,0.213
23,0.0596442751174897,0.783
24,0.167115021091713,0.261
25,0.0280626488704775,0.938
26,0.135326208068391,0.353
27,0.101856340444377,0.558
28,0.0654351800446449,0.782
29,0.0648948287678401,0.719
30,0.233439808770628,0.074
31,0.0801129596724448,0.695
32,0.118442357913831,0.393
33,0.0356262663396252,0.907
34,0.104829574868565,0.529
35,0.114079232159902,0.465
36,0.0928828381375498,0.589
37,0.154716181327182,0.399
38,0.0706949919862634,0.76
39,0.108598057862837,0.534
40,0.161039279223184,0.303
41,0.182042943934868,0.255
42,0.0967411418439944,0.615
43,0.129820306771418,0.42
44,0.0616660977398536,0.803
45,0.110868368512194,0.485
46,0.0199840016047504,0.979
47,0.082948705195645,0.686
48,0.268716465981362,0.063
49,0.0626644354710737,0.802
50,0.197748672263155,0.155
51,0.0890674357252635,0.645
52,0.185661582196612,0.19
53,0.185691167571536,0.205
54,0.116092783392678,0.523
55,0.0661192661664268,0.797
56,0.145652725118786,0.385
57,0.0704080729520562,0.732
58,0.174255331955855,0.253
59,0.141171625909295,0.469
60,0.198049054599761,0.138
61,0.131139969107858,0.377
62,0.205690601890664,0.17
63,0.0584961126672792,0.815
64,0.0875739348684696,0.595
65,0.181429564434191,0.236
66,0.0819921014944017,0.681
67,0.0483894398439383,0.826
68,0.0841678937582535,0.638
69,0.206610195327065,0.246
70,0.146655925610178,0.36
71,0.110251510787629,0.56
72,0.282485283410903,0.016
73,0.0155270501131891,0.982
74,0.103747874564452,0.535
75,0.205670194771762,0.158
76,0.052397343663594,0.846
77,0.119240786354993,0.468
78,0.167438202145959,0.216
79,0.250078347989982,0.08
80,0.120712835617154,0.501
81,0.0873938814796759,0.577
82,0.0562372693036635,0.814
83,0.112258699916398,0.478
84,0.0527735920333954,0.862
85,0.159482653196001,0.246
86,0.028340033564951,0.957
87,0.097633594987721,0.648
88,0.287020620922947,0.017
89,0.16576880694075,0.247
90,0.0467685759394394,0.856
91,0.123441635494835,0.479
92,0.118392443198723,0.49
93,0.113855173416722,0.477
94,0.225486882454219,0.219
95,0.0421762360313417,0.898
96,0.125807894980233,0.398
97,0.244354692407307,0.112
98,0.128215014482681,0.369
99,0.0444137906925435,0.874
100,0.0496688556781845,0.82
101,0.125558513494428,0.476
102,0.113484192698861,0.507
103,0.138476783718214,0.419
104,0.129688708714436,0.466
105,0.233815888102383,0.144
106,0.109507767900898,0.536
107,0.181961699387672,0.226
108,0.0802571324055228,0.709
109,0.0549684771706331,0.804
110,0.129103215411463,0.492
111,0.0829441024277029,0.667
112,0.139739374111844,0.323
113,0.137175497198672,0.362
114,0.190069268196678,0.153
115,0.165913078364442,0.26
116,0.150028503964953,0.29
117,0.0951084421533002,0.598
118,0.0294599831054119,0.934
119,0.0293710505998718,0.942
120,0.174860576563485,0.228
121,0.321415740303014,0.063
122,0.125447393126174,0.468
123,0.0894628874377683,0.622
124,0.0603331033419413,0.814
125,0.0843187072352111,0.688
126,0.367877499292643,0.004
127,0.10575390138131,0.567
128,0.128865060999567,0.416
129,0.114509096276368,0.538
130,0.0481043005776874,0.843
131,0.104871499892493,0.611
132,0.103817788604471,0.601
133,0.082492170266446,0.641
134,0.132991539206668,0.405
135,0.285605858306204,0.038
136,0.163943514018098,0.225
137,0.0385258245149797,0.914
138,0.22169318659667,0.164
139,0.0711152673251737,0.737
140,0.156108186060225,0.269
141,0.0537378088084511,0.855
142,0.201737837122351,0.14
143,0.245803103284299,0.093
144,0.0478437613613425,0.89
145,0.0904544350467575,0.616
146,0.216225222466305,0.188
147,0.119588054093303,0.413
148,0.217672643162601,0.133
149,0.198380918245398,0.155
150,0.0561379779626971,0.819
151,0.156025256617336,0.273
152,0.0753528231205658,0.645
153,0.199212557367915,0.238
154,0.0817580363395531,0.672
155,0.226522499529923,0.142
156,0.102171910213378,0.542
157,0.106911966545363,0.595
158,0.273522886050064,0.064
159,0.0726702390147604,0.675
160,0.213011799109223,0.133
161,0.0843924375788977,0.672
162,0.198750843849899,0.111
163,0.170346088014584,0.252
164,0.0475652077723934,0.819
165,0.047397673177256,0.846
166,0.0927910928286896,0.64
167,0.181499604592049,0.222
168,0.237345400698125,0.095
169,0.103806696375957,0.543
170,0.259150136431204,0.054
171,0.0491297712817705,0.89
172,0.0984827230714377,0.606
173,0.203660062830025,0.184
174,0.256695215953083,0.054
175,0.13561489639689,0.431
176,0.175260121443805,0.204
177,0.102822572137388,0.573
178,0.207368618864084,0.158
179,0.0806346047232547,0.652
180,0.201962832091275,0.153
181,0.172392260812877,0.221
182,0.266200163647333,0.076
183,0.0945391034828139,0.575
184,0.0415918735678609,0.933
185,0.0938940719166302,0.614
186,0.093220138362289,0.649
187,0.0500451671895824,0.832
188,0.131695086687964,0.385
189,0.146401215816043,0.362
190,0.225634196950357,0.099
191,0.138937503475816,0.379
192,0.0538984679282584,0.799
193,0.117031485239428,0.482
194,0.253019868210899,0.056
195,0.0952372722141404,0.531
196,0.15062598956151,0.309
197,0.158854104678609,0.26
198,0.136323421425281,0.43
199,0.0646078006407662,0.792
200,0.284162949632769,0.023
201,0.0816632918967661,0.678
202,0.0309212045584723,0.93
203,0.112246410076199,0.484
204,0.159185472523958,0.283
205,0.136114950101545,0.467
206,0.291624327655376,0.068
207,0.0819446916181836,0.625
208,0.0825466105055051,0.64
209,0.119717878909639,0.482
210,0.267502439011856,0.046
211,0.236129208045622,0.145
212,0.13780288477018,0.376
213,0.0901917041564351,0.65
214,0.154961808075375,0.341
215,0.0165954415052828,0.993
216,0.261415865597249,0.062
217,0.0593331354074045,0.796
218,0.148705290174683,0.252
219,0.0817400350517122,0.601
220,0.238789329303038,0.06
221,0.0562852807447416,0.852
222,0.0528002029717039,0.836
223,0.0749561110830313,0.757
224,0.109603846170578,0.516
225,0.238848677637317,0.095
226,0.011815419805382,0.991
227,0.117260571800015,0.485
228,0.146043976915729,0.314
229,0.179139307414616,0.244
230,0.0518279255455583,0.782
231,0.0776413900659504,0.704
232,0.248841264864256,0.025
233,0.121504457996235,0.499
234,0.0506089508740731,0.87
235,0.216917696505807,0.13
236,0.161642462757332,0.318
237,0.0403326094143861,0.913
238,0.135146703751039,0.393
239,0.122400540508337,0.457
240,0.132852870870723,0.332
241,0.0641912302528285,0.814
242,0.0776073245710853,0.699
243,0.189716337043336,0.108
244,0.265801572326025,0.029
245,0.0927791173559158,0.603
246,0.208495229881423,0.107
247,0.127011794681884,0.37
248,0.0943656765717395,0.599
249,0.0962354735340373,0.568
250,0.15116580448889,0.339
251,0.0606121359592261,0.762
252,0.153677004556588,0.231
253,0.0708695843741152,0.708
254,0.218694507234487,0.058
255,0.197115197765154,0.136
256,0.107348455451634,0.558
257,0.371823470867783,0.005
258,0.13445307672306,0.331
259,0.120320284903582,0.501
260,0.0622898508044848,0.772
261,0.142239782001226,0.379
262,0.0468814520398182,0.87
263,0.100698569227026,0.485
264,0.122049816800772,0.371
265,0.169177879882569,0.193
266,0.0382508885074489,0.926
267,0.126793917667838,0.432
268,0.0617539605171789,0.78
269,0.137738166488146,0.405
270,0.169162014312332,0.242
271,0.129397991241306,0.416
272,0.186181847971913,0.226
273,0.156731712240208,0.256
274,0.233867376280321,0.078
275,0.136458252789634,0.419
276,0.0993825011545972,0.609
277,0.0747101604832893,0.667
278,0.0349429377585858,0.906
279,0.0358353806159493,0.894
280,0.179559906390042,0.204
281,0.189528857210894,0.174
282,0.221303223474042,0.078
283,0.22968814415518,0.094
284,0.0884649295256631,0.597
285,0.158520991413798,0.282
286,0.196627736678866,0.156
287,0.19651119607081,0.181
288,0.089815233528871,0.616
289,0.11037920273435,0.482
290,0.094515280236487,0.586
291,0.154013149125701,0.243
292,0.104090448564887,0.549
293,0.122372997469926,0.471
294,0.0801782997965666,0.686
295,0.033097280859995,0.923
296,0.130261130137439,0.379
297,0.141583703144865,0.26
298,0.118001659065692,0.451
299,0.133654533187666,0.405
300,0.117919080637193,0.552
301,0.0359635079536408,0.904
302,0.0829968843404348,0.696
303,0.411633465029688,0.003
304,0.177376906421704,0.241
305,0.202607338918974,0.168
306,0.164158143947913,0.341
307,0.115116586590019,0.517
308,0.101690016263186,0.565
309,0.147090111329188,0.375
310,0.107954164068637,0.539
311,0.158972838302285,0.302
312,0.162615057569373,0.309
313,0.192440613263468,0.191
314,0.252324991719166,0.074
315,0.110206807013062,0.507
316,0.126798363604174,0.456
317,0.016622117805114,0.979
318,0.182135472287462,0.227
319,0.146075259298514,0.347
320,0.144225379349158,0.303
321,0.105161476819037,0.54
322,0.0766734215288553,0.734
323,0.0677984889869964,0.776
324,0.119293343011786,0.484
325,0.106255566289238,0.573
326,0.111958296719724,0.493
327,0.225135636769345,0.131
328,0.0715625070751738,0.683
329,0.159498890046643,0.338
330,0.100415985113682,0.512
331,0.146964074883069,0.283
332,0.142992758705802,0.235
333,0.105696473301562,0.507
334,0.0410026623701751,0.91
335,0.100001973791598,0.6
336,0.110036352763013,0.486
337,0.0486690684808374,0.83
338,0.0530607388906137,0.799
339,0.157232155657141,0.256
340,0.133913239837802,0.413
341,0.115600832216707,0.536
342,0.19642859757523,0.159
343,0.097078357971864,0.613
344,0.166219831133833,0.268
345,0.0767881819973457,0.701
346,0.130006351682066,0.368
347,0.0514113982266741,0.808
348,0.286275111628853,0.078
349,0.149029691293793,0.336
350,0.044943768484631,0.862
351,0.11433831652397,0.563
352,0.0547148215502247,0.821
353,0.143123642595876,0.42
354,0.119267141268611,0.45
355,0.100924599844256,0.608
356,0.123646417247939,0.538
357,0.159021792929906,0.256
358,0.0547734213263885,0.749
359,0.0468026491884653,0.849
360,0.0790874295228305,0.616
361,0.0715204759860269,0.742
362,0.179847057052401,0.173
363,0.122899674838183,0.477
364,0.34409991636572,0.013
365,0.162586107198119,0.175
366,0.372220994150908,0.001
367,0.0548463988868082,0.835
368,0.194044815179004,0.148
369,0.252336366964617,0.118
370,0.0809890781164429,0.683
371,0.151926331440196,0.263
372,0.0614270485123789,0.812
373,0.0822489055131582,0.705
374,0.193211072320952,0.173
375,0.0607903771376102,0.79
376,0.0829181521699131,0.718
377,0.10667163609851,0.483
378,0.126420417111012,0.395
379,0.078827998765679,0.638
380,0.193458392130619,0.203
381,0.0857014124534665,0.68
382,0.178598349191026,0.191
383,0.211984142992398,0.167
384,0.421657426244774,0.007
385,0.179740800547099,0.244
386,0.133869429538008,0.41
387,0.193034782028764,0.124
388,0.088163266402629,0.611
389,0.198717455316426,0.176
390,0.105214525992091,0.493
391,0.0854751587315502,0.664
392,0.140865363236011,0.403
393,0.202563592930245,0.208
394,0.171682404273811,0.261
395,0.250014966885256,0.082
396,0.0888675575783405,0.621
397,0.078375461426298,0.679
398,0.141431627093934,0.395
399,0.141227889276991,0.379
400,0.138406006734901,0.372
401,0.125368487359256,0.446
402,0.115546378886058,0.484
403,0.0169764869515421,0.987
404,0.203011778727575,0.163
405,0.0885764951999915,0.609
406,0.0492944635121124,0.83
407,0.0825610652318086,0.657
408,0.122914827270811,0.451
409,0.07237375069684,0.701
410,0.192150150573239,0.167
411,0.179920669818223,0.208
412,0.0984652908390334,0.615
413,0.0878238571388349,0.666
414,0.308058206153027,0.013
415,0.252982968403422,0.071
416,0.124746258730423,0.439
417,0.0622068771448235,0.769
418,0.0355819299794762,0.897
419,0.180794310531105,0.222
420,0.0318913683674444,0.935
421,0.19841734817183,0.155
422,0.158830947371649,0.273
423,0.313069642711183,0.017
424,0.331980664214942,0.011
425,0.060238430778458,0.735
426,0.0825956807878008,0.679
427,0.161564926227904,0.36
428,0.134595369796192,0.454
429,0.1324202327802,0.469
430,0.218342969792017,0.182
431,0.150196014703925,0.29
432,0.185704154386806,0.316
433,0.0962085082555139,0.578
434,0.0851587207649398,0.654
435,0.124714992105706,0.457
436,0.129962070926463,0.359
437,0.315463899324618,0.031
438,0.0903287394074401,0.524
439,0.0768725599880163,0.714
440,0.0952462391310264,0.574
441,0.185506341597876,0.229
442,0.122421765799148,0.427
443,0.095933968308552,0.656
444,0.294326228688302,0.026
445,0.17028403301646,0.271
446,0.0448330519233635,0.881
447,0.1101503018868,0.434
448,0.192520637600972,0.151
449,0.213176745257683,0.178
450,0.156357152167063,0.357
451,0.15412884027156,0.376
452,0.0720063665766849,0.73
453,0.100160842078035,0.503
454,0.111545729009194,0.613
455,0.181648014282197,0.227
456,0.328316108864233,0.014
457,0.052690963215752,0.827
458,0.0917995848434527,0.643
459,0.0600129815568873,0.823
460,0.136910648488605,0.276
461,0.0936026878048071,0.561
462,0.102573451572438,0.559
463,0.219724522631217,0.118
464,0.124935497511053,0.504
465,0.0707654117703926,0.746
466,0.0598967378647237,0.757
467,0.18467649210107,0.248
468,0.0719759546958995,0.726
469,0.0934680122253696,0.637
470,0.0362180594560204,0.895
471,0.0339179726577546,0.93
472,0.203313538917601,0.145
473,0.0320105176375909,0.924
474,0.122190178838322,0.468
475,0.0564690330415973,0.803
476,0.136158215302727,0.356
477,0.07621226763571,0.698
478,0.100953054254255,0.656
479,0.136755655729577,0.329
480,0.262989032159749,0.114
481,0.280098285120038,0.064
482,0.0940397675344846,0.607
483,0.259169046360469,0.106
484,0.0582356520888418,0.765
485,0.0764636779272923,0.72
486,0.258825415880603,0.033
487,0.0879146905559442,0.645
488,0.156656957802732,0.368
489,0.136273098815638,0.427
490,0.102957926366911,0.556
491,0.101288882311416,0.564
492,0.0251551224179305,0.96
493,0.133141207989359,0.401
494,0.202663046000672,0.213
495,0.0736898198068291,0.763
496,0.0772527093476956,0.704
497,0.18571752581119,0.221
498,0.254891154340971,0.089
499,0.0681880187752541,0.757
500,0.0194102694011543,0.97
