"replication","mse","coverage"
1,0.407232390573243,0.871
2,0.33369316482403,0.882
3,0.337771077866747,0.891
4,0.319675293416627,0.889
5,0.278984421633199,0.922
6,0.275163489252035,0.907
7,0.234414392838546,0.926
8,0.314340507790808,0.908
9,0.30649561289694,0.907
10,0.287269129055146,0.921
11,0.343880542253036,0.867
12,0.44785982804726,0.845
13,0.278427624125681,0.934
14,0.358390809698665,0.898
15,0.204844532035328,0.946
16,0.316103585950265,0.907
17,0.259993666870901,0.931
18,0.213190922089309,0.957
19,0.340542657739088,0.888
20,0.234726145458456,0.927
21,0.360837205880492,0.883
22,0.520741857558774,0.773
23,0.324576120553498,0.882
24,0.309701564630521,0.901
25,0.281555345066781,0.922
26,0.217292855346529,0.96
27,0.230179831287838,0.921
28,0.334707621074371,0.866
29,0.241384918336252,0.944
30,0.345917742542817,0.875
31,0.221275320386191,0.949
32,0.237596648137147,0.929
33,0.38023465499184,0.896
34,0.238662054513384,0.923
35,0.370814979683334,0.861
36,0.237162342334681,0.952
37,0.324784114532779,0.895
38,0.246189081634208,0.939
39,0.195406618760037,0.954
40,0.370533671098245,0.875
41,0.301139903636956,0.909
42,0.345317426356982,0.877
43,0.318795688722898,0.891
44,0.318786551148305,0.908
45,0.28689051716334,0.9
46,0.310978672876956,0.905
47,0.329736094780274,0.901
48,0.401827783653506,0.835
49,0.240256658503489,0.924
50,0.262391667049768,0.915
51,0.342749442751884,0.893
52,0.326074610511735,0.906
53,0.353298035111093,0.832
54,0.333217080611768,0.843
55,0.375609575192677,0.872
56,0.328319610524548,0.877
57,0.323104052534101,0.894
58,0.262831457467414,0.923
59,0.355517070162056,0.882
60,0.488492162375005,0.818
61,0.284661373885353,0.906
62,0.309607664630895,0.901
63,0.29472923733092,0.927
64,0.197847942182724,0.947
65,0.500023104988362,0.846
66,0.226710649486162,0.946
67,0.360283281691182,0.908
68,0.206040263726712,0.947
69,0.374559262825793,0.831
70,0.368750199789986,0.886
71,0.216532318588494,0.95
72,0.329186261635547,0.888
73,0.353793443925606,0.88
74,0.308482177192864,0.889
75,0.419782819506593,0.821
76,0.438506610219909,0.813
77,0.247778955625461,0.908
78,0.314370324632854,0.92
79,0.261653835888537,0.921
80,0.257317473331199,0.918
81,0.315844103345171,0.89
82,0.322520228446968,0.891
83,0.314749036395252,0.893
84,0.412276802669432,0.841
85,0.435694774186375,0.84
86,0.27399749697634,0.918
87,0.361105330656618,0.886
88,0.306620750499886,0.919
89,0.324298282895441,0.898
90,0.497595078638424,0.781
91,0.295790736818866,0.92
92,0.541024321348041,0.783
93,0.37190895804725,0.884
94,0.240067681803638,0.925
95,0.450686110039911,0.832
96,0.289140589111753,0.887
97,0.422039919477601,0.829
98,0.350640666239256,0.849
99,0.251305616167405,0.914
100,0.376051543375356,0.872
101,0.273040288938946,0.932
102,0.295718727650356,0.899
103,0.412862991733531,0.855
104,0.380884945938803,0.845
105,0.525421607470619,0.782
106,0.259900801553553,0.922
107,0.311967076656507,0.911
108,0.406588968343254,0.857
109,0.218426978950087,0.921
110,0.542868729376335,0.831
111,0.379212416585522,0.878
112,0.253974847032892,0.933
113,0.256333059327315,0.918
114,0.260837948628072,0.923
115,0.317855703604495,0.926
116,0.297778715084841,0.93
117,0.348553804071004,0.876
118,0.229408995693624,0.953
119,0.349928653291496,0.877
120,0.39701706945507,0.841
121,0.497882614306199,0.849
122,0.29077073036851,0.904
123,0.359518432198867,0.885
124,0.23268308076978,0.935
125,0.289999346801547,0.89
126,0.364151725683286,0.891
127,0.245360924134606,0.921
128,0.338221793383458,0.882
129,0.307057124581062,0.91
130,0.259336318071673,0.904
131,0.236954493247759,0.932
132,0.229488884931855,0.953
133,0.242045594605568,0.937
134,0.327837114146202,0.882
135,0.293861410442949,0.91
136,0.225912333671118,0.934
137,0.251888428741695,0.912
138,0.389001912677259,0.849
139,0.267847721730565,0.92
140,0.313581416565092,0.904
141,0.238840338678057,0.927
142,0.316864224377495,0.898
143,0.251715822393392,0.918
144,0.268509170531865,0.935
145,0.35098549085955,0.911
146,0.314794930672104,0.911
147,0.224836128011319,0.93
148,0.239365983437786,0.919
149,0.302878819713603,0.905
150,0.425004465925922,0.819
151,0.26919578296524,0.916
152,0.359078742578487,0.893
153,0.267789423001202,0.932
154,0.269841231813521,0.923
155,0.379246074018861,0.87
156,0.540303136702261,0.812
157,0.310876358093596,0.884
158,0.356179917647458,0.903
159,0.343752123534753,0.877
160,0.287551287826209,0.916
161,0.283384343877294,0.911
162,0.351316757743899,0.856
163,0.340406886759774,0.886
164,0.245857991331402,0.93
165,0.2912190375413,0.914
166,0.246272603369587,0.923
167,0.36129907899321,0.893
