"replication","mse","coverage"
1,0.0442793050743638,0.913
2,0.300113581591666,0.033
3,0.113336880639651,0.508
4,0.0546114615693933,0.855
5,0.112864331504742,0.447
6,0.105663629955851,0.567
7,0.060570858681851,0.797
8,0.119398583712844,0.482
9,0.173407163514254,0.214
10,0.077757045066511,0.669
11,0.101952021747108,0.486
12,0.177184357932452,0.238
13,0.0422568162208622,0.888
14,0.070006031484479,0.73
15,0.130470455576993,0.376
16,0.05335157486747,0.862
17,0.139754760220969,0.366
18,0.227325518633866,0.084
19,0.0297120729013833,0.936
20,0.269643564608625,0.047
21,0.112862260295916,0.527
22,0.0220519134132337,0.973
23,0.197506700860434,0.217
24,0.240223879960588,0.074
25,0.0346234928270044,0.959
26,0.169389334369951,0.281
27,0.11181350745278,0.449
28,0.0670576778430703,0.784
29,0.0748768990466742,0.691
30,0.283339917888463,0.026
31,0.0656528523814986,0.722
32,0.219500784152027,0.035
33,0.361759031047507,0.005
34,0.0663466011750667,0.769
35,0.265968410872659,0.076
36,0.254389552697037,0.027
37,0.0250171294835854,0.955
38,0.118721945346117,0.446
39,0.0729113404383723,0.725
40,0.0455121029684822,0.863
41,0.0107437318287967,1
42,0.0694645387246182,0.677
43,0.116659173247346,0.491
44,0.0207996277646671,0.971
45,0.0323452619210645,0.933
46,0.157946333220842,0.292
47,0.0680191683101761,0.768
48,0.102575103463641,0.582
49,0.0476884478196678,0.884
50,0.138259755212343,0.334
51,0.155791830804552,0.318
52,0.135385295577807,0.435
53,0.218274115373254,0.215
54,0.0493200222566771,0.807
55,0.0793007208861951,0.718
56,0.220981922715827,0.074
57,0.306592657357223,0.051
58,0.251116172064791,0.115
59,0.0732176231824758,0.722
60,0.119496987896662,0.41
61,0.269253304803344,0.013
62,0.203126045360706,0.271
63,0.101414470273273,0.498
64,0.119175086046263,0.487
65,0.282632778923294,0.075
66,0.113287355726795,0.456
67,0.130380433466591,0.383
68,0.197933964995853,0.124
69,0.0311945994759967,0.941
70,0.0749857438820568,0.721
71,0.0819444213605863,0.65
72,0.057868303823726,0.787
73,0.154376869934738,0.327
74,0.184182616486919,0.208
75,0.155636894834819,0.376
76,0.0476297482205972,0.869
77,0.178357278540585,0.211
78,0.129044771563547,0.443
79,0.163817598712611,0.239
80,0.107755387685066,0.465
81,0.124964963711839,0.463
82,0.233431318788046,0.094
83,0.0398351994595327,0.91
84,0.13790966038308,0.406
85,0.08571990089628,0.63
86,0.0677374255446522,0.721
87,0.0587936266319919,0.796
88,0.159900652808566,0.424
89,0.0997004685584581,0.508
90,0.109164614673721,0.585
91,0.262870976932624,0.132
92,0.114675212408858,0.522
93,0.121147011038774,0.39
94,0.113264415871637,0.347
95,0.204658846243256,0.254
96,0.14283007660606,0.416
97,0.178422311150064,0.168
98,0.0701667137963791,0.736
99,0.199321722548664,0.159
100,0.068040214590174,0.66
101,0.148057582064731,0.193
102,0.120590257305771,0.478
103,0.11583481266762,0.539
104,0.0933503778148278,0.677
105,0.0127828328247075,0.993
106,0.159110924691923,0.101
107,0.140681761304775,0.339
108,0.11004645512543,0.462
109,0.150818630848331,0.318
110,0.0858665119567182,0.61
111,0.134247620374386,0.471
112,0.15894361099712,0.293
113,0.11620257063647,0.438
114,0.0986431074433291,0.491
115,0.0514604456645752,0.829
116,0.226786107527031,0.12
117,0.117761415010485,0.468
118,0.103845411895624,0.515
119,0.241979888778227,0.124
120,0.214774431023711,0.125
121,0.0308976572291547,0.916
122,0.188867662928891,0.212
123,0.131729444061577,0.425
124,0.199053847296035,0.241
125,0.104755953212282,0.558
126,0.0121874510804845,0.994
127,0.0247919809701246,0.952
128,0.120109295222252,0.402
129,0.288067212166927,0.071
130,0.164021460866204,0.185
131,0.0757379823697568,0.671
132,0.110143605290236,0.527
133,0.0335500647039934,0.925
134,0.163585238517887,0.2
135,0.135451024835332,0.315
136,0.054418628934969,0.784
137,0.071583615466579,0.745
138,0.323511745156973,0.025
139,0.114495470672222,0.55
140,0.0390321927379107,0.864
141,0.102074654121471,0.54
142,0.254043792789533,0.042
143,0.0910703712476075,0.565
144,0.0516480794214308,0.862
145,0.0582029621480197,0.814
146,0.129344641476297,0.428
147,0.110516339291268,0.535
148,0.169419362137589,0.19
149,0.142820366771829,0.374
150,0.104772016622673,0.533
151,0.0274397460932356,0.969
152,0.378467025894318,0.007
153,0.144302078149172,0.412
154,0.142065081182386,0.347
155,0.0719763343248642,0.72
156,0.168049839515462,0.206
157,0.206838502502526,0.155
158,0.219691537022668,0.281
159,0.0759402011039018,0.685
