"replication","mse","coverage"
1,0.178055743954907,0.267
2,0.074803881217568,0.631
3,0.0296600336395784,0.9
4,0.157509736931169,0.264
5,0.0919485344801359,0.533
6,0.100909423067756,0.442
7,0.125454154078342,0.543
8,0.0681764748327384,0.668
9,0.19991888267278,0.267
10,0.143014372859774,0.413
11,0.141805462943059,0.337
12,0.100098914667701,0.626
13,0.0535131068313829,0.806
14,0.0922064328926839,0.627
15,0.177340961373445,0.081
16,0.187612039547076,0.174
17,0.236279087932996,0.043
18,0.0144048604712604,0.993
19,0.0286249092771778,0.934
20,0.0539664194630593,0.853
21,0.173239856873077,0.185
22,0.187614950186972,0.25
23,0.0870477843921581,0.623
24,0.241142662539706,0.114
25,0.017140500510821,0.997
26,0.108318001822313,0.517
27,0.19004678116458,0.311
28,0.0776773168387084,0.596
29,0.11026336467771,0.43
30,0.0851544967346278,0.64
31,0.0694895905471002,0.713
32,0.112155605988438,0.476
33,0.120160339274042,0.501
34,0.209708267368574,0.261
35,0.0647889975934209,0.728
36,0.0512846341595888,0.84
37,0.176844648343581,0.256
38,0.0983737952375616,0.553
39,0.0486668586099595,0.799
40,0.064804081495751,0.79
41,0.135242317873979,0.406
42,0.155319305265345,0.276
43,0.173915150078266,0.287
44,0.0487652617186757,0.833
45,0.0911979648479679,0.578
46,0.0981477096833767,0.567
47,0.0935903144371247,0.52
48,0.104127124308168,0.559
49,0.055982523328345,0.774
50,0.196425237618968,0.283
51,0.125490424832027,0.401
52,0.224688960916465,0.156
53,0.0504915075297823,0.815
54,0.055208691294742,0.807
55,0.0960580876346723,0.619
56,0.153800961459236,0.367
57,0.103216482588063,0.561
58,0.106288359208508,0.515
59,0.160198218875485,0.354
60,0.203049182604011,0.242
61,0.14787295009268,0.272
62,0.245519938194965,0.199
63,0.299841706828177,0.032
64,0.14969197379844,0.428
65,0.155885380973441,0.276
66,0.133613138496881,0.304
67,0.220020959254333,0.077
68,0.0977031456593511,0.544
69,0.0859021598380629,0.604
70,0.136522064745373,0.335
71,0.0661101302052923,0.693
72,0.190404693407049,0.313
73,0.134151505859248,0.455
74,0.0558120193857729,0.794
75,0.0189292119911907,0.974
76,0.135672510456157,0.403
77,0.0871251555174725,0.547
78,0.116825347034839,0.479
79,0.258029958780581,0.043
80,0.131408117728742,0.44
81,0.0202714474261339,0.974
82,0.0673578949141908,0.673
83,0.172449786713495,0.322
84,0.052722906565895,0.8
85,0.173323649610851,0.294
86,0.0927792321545136,0.533
87,0.0490592008021659,0.781
88,0.0417602847561002,0.84
89,0.14227212670854,0.355
90,0.11766041123356,0.395
91,0.0857258609972496,0.648
92,0.0797876629635385,0.644
93,0.196509872320732,0.138
94,0.17907742789079,0.293
95,0.205993500905083,0.244
96,0.100943387586604,0.505
97,0.217250596478627,0.214
98,0.1497872015747,0.353
99,0.0508666654674233,0.813
100,0.116511848106809,0.531
101,0.0802111070370133,0.723
102,0.0378955663097513,0.942
103,0.148980554466538,0.259
104,0.109549560614198,0.527
105,0.0676327681790344,0.71
106,0.0637879716965558,0.749
107,0.150487527571339,0.356
108,0.0641439720320058,0.686
109,0.0327164803435514,0.933
110,0.175437482243354,0.395
111,0.0252525355749211,0.941
112,0.0774896011922252,0.643
113,0.121045168913964,0.423
114,0.155059668577449,0.226
115,0.110612371248043,0.506
116,0.0981813616789487,0.575
117,0.0779788248781719,0.67
118,0.165160649013123,0.245
119,0.148692459078239,0.413
120,0.225166877817401,0.082
121,0.102101351166398,0.601
122,0.0420343997885591,0.863
123,0.102935352604203,0.55
124,0.126849603984133,0.366
125,0.0263556186016646,0.954
126,0.0532881709424654,0.799
127,0.0663913197254084,0.73
128,0.0695735539055552,0.677
129,0.0731354292578547,0.697
130,0.178948278089459,0.229
131,0.0500916656693069,0.77
132,0.147079716836193,0.384
133,0.0237704586805075,0.981
134,0.0262067555386046,0.944
135,0.0885108664243105,0.553
136,0.104447414349881,0.433
137,0.0869517082977489,0.606
138,0.261650266425913,0.148
139,0.0492175675202305,0.79
140,0.106772693112717,0.504
141,0.0768613028967715,0.725
142,0.182130878785038,0.373
143,0.0488267831227129,0.847
144,0.120999702057661,0.5
145,0.0778392889964549,0.654
146,0.138221874257108,0.482
147,0.0751945166036273,0.695
148,0.0782378663165068,0.648
149,0.277760783243923,0.092
150,0.0832331481185646,0.663
151,0.0713379550939922,0.711
152,0.161786785810509,0.229
153,0.0571042852382837,0.809
154,0.0435258095974658,0.811
155,0.106426590445308,0.588
156,0.0687330609133067,0.74
157,0.0553449806989804,0.758
158,0.0908954022882334,0.585
159,0.158201233482036,0.456
160,0.137025576799181,0.312
161,0.109618854319611,0.461
162,0.119016224984685,0.434
163,0.108128680005653,0.568
164,0.17321248764711,0.18
165,0.153232679831151,0.312
166,0.0402680008711381,0.851
167,0.112395006519795,0.417
168,0.147639693124538,0.341
169,0.0309744735699713,0.916
170,0.0724853950701743,0.715
171,0.0773137170124254,0.687
172,0.111278941642979,0.442
173,0.0314739397036882,0.923
174,0.1149692620932,0.553
175,0.213916746269498,0.295
176,0.163784894061993,0.344
177,0.106689572943631,0.584
178,0.0864516449986762,0.599
179,0.0688182091142691,0.709
180,0.154755394752031,0.334
181,0.0916907999009665,0.577
182,0.0507246547943153,0.822
183,0.0200349566918255,0.986
184,0.114136818785334,0.51
185,0.0837972501762067,0.622
186,0.177895397712184,0.125
187,0.0880656772769721,0.6
188,0.327889480495851,0.025
189,0.134653683386912,0.289
190,0.152440236262757,0.338
191,0.281905329728645,0.027
192,0.193956449744284,0.294
193,0.0757267018350027,0.671
194,0.131701141755977,0.411
195,0.15550358182515,0.38
196,0.0446315612762392,0.834
197,0.143719814807139,0.378
198,0.0501954872011648,0.851
199,0.0866674847916305,0.629
200,0.183906472625008,0.163
201,0.0854588942181027,0.596
202,0.168368505107252,0.223
203,0.0489351800226852,0.858
204,0.111642548546193,0.575
205,0.0612733979984757,0.751
206,0.0922221059816125,0.539
207,0.045726177530811,0.847
208,0.0818908727147026,0.648
209,0.0429662829037221,0.8
210,0.0539465708376384,0.819
211,0.220349762435982,0.274
