"replication","mse","coverage"
1,0.147841104347455,0.284
2,0.157196436475408,0.267
3,0.157304799487618,0.227
4,0.0779614942591968,0.694
5,0.0947563909216384,0.645
6,0.072269458012205,0.68
7,0.0915030280981957,0.656
8,0.0285733630045952,0.961
9,0.0476431670819825,0.852
10,0.142798467869941,0.391
11,0.0559036426684557,0.8
12,0.0865986521223032,0.589
13,0.16493872415182,0.269
14,0.160771122472254,0.208
15,0.398602926237151,0.004
16,0.164802860451514,0.267
17,0.0552331640861567,0.845
18,0.0811706158037856,0.692
19,0.0971466188516944,0.544
20,0.0709052777609914,0.725
21,0.0234960238133852,0.957
22,0.116484720250196,0.534
23,0.147978138417338,0.389
24,0.163285885915271,0.258
25,0.126282626286489,0.348
26,0.0517081657153401,0.845
27,0.0302274137500798,0.943
28,0.210713219299474,0.146
29,0.146039137041857,0.377
30,0.123868308644965,0.44
31,0.0303150224028217,0.944
32,0.103664748500095,0.582
33,0.0985268733088366,0.485
34,0.199903208489095,0.24
35,0.0941857144583474,0.622
36,0.0734905546441426,0.658
37,0.259796015787233,0.155
38,0.181736087278229,0.231
39,0.171368049123855,0.323
40,0.0936409885798969,0.575
41,0.0831512116989419,0.686
42,0.155686792875207,0.296
43,0.0532237741278825,0.825
44,0.207241622762622,0.167
45,0.0674650845153573,0.762
46,0.158364734205956,0.311
47,0.143726184801859,0.325
48,0.0967555296345619,0.623
49,0.117962962161827,0.436
50,0.0849605422768982,0.677
51,0.232431976675682,0.144
52,0.24437086328845,0.145
53,0.136449057320272,0.393
54,0.0293481224650738,0.943
55,0.135268064571601,0.421
56,0.099026384536283,0.579
57,0.236208374168838,0.073
58,0.0745467060983017,0.718
59,0.218953038205793,0.181
60,0.337796475904509,0.03
61,0.13844873644753,0.408
62,0.0637586657232257,0.776
63,0.0975456746994953,0.563
64,0.0516956052445593,0.807
65,0.24583057795708,0.058
66,0.248774192806375,0.084
67,0.189811507878362,0.111
68,0.148594331363072,0.363
69,0.12641617920406,0.414
70,0.089064708039475,0.686
71,0.114241541646245,0.375
72,0.170338537428123,0.298
73,0.0884075302528605,0.622
74,0.102547612806144,0.58
75,0.158570356802742,0.307
76,0.148420792046448,0.345
77,0.206920681356296,0.179
78,0.0914166118016238,0.599
79,0.0916949648258886,0.601
80,0.0317481560029187,0.939
81,0.0321969510859569,0.922
82,0.232446644382863,0.047
83,0.0850469613078554,0.649
84,0.175428336909387,0.245
85,0.183791754590917,0.222
86,0.130882247751419,0.352
87,0.0700846742071665,0.785
88,0.10566989544491,0.562
89,0.124887926103467,0.396
90,0.122692330346656,0.475
91,0.0958907204854973,0.607
92,0.151994451258389,0.343
93,0.0652679932837299,0.747
94,0.202992403335204,0.159
95,0.0622506717643935,0.762
96,0.0969770743564822,0.564
97,0.125569502185056,0.431
98,0.120637334949961,0.455
99,0.098726740569932,0.555
100,0.247784825521997,0.051
101,0.0493965170721743,0.825
102,0.11010420482374,0.442
103,0.08739537128111,0.647
104,0.184555604806839,0.202
105,0.0732248082125717,0.721
106,0.285462727480564,0.012
107,0.0923161605028489,0.601
108,0.132127280321022,0.432
109,0.0759030668076543,0.676
110,0.187356707800726,0.232
111,0.0547738230135744,0.817
112,0.166650685208254,0.152
113,0.0852394936128709,0.594
114,0.210519967869253,0.194
115,0.162035233810201,0.308
116,0.186137659261396,0.23
117,0.14548708115269,0.382
118,0.0124018398993845,0.999
119,0.115495691557975,0.451
120,0.0916443656980521,0.639
121,0.141691657778743,0.384
122,0.0965584829904541,0.602
123,0.116239765825616,0.501
124,0.0933166939797825,0.615
125,0.141172060966932,0.367
126,0.121658506442084,0.495
127,0.15215006243726,0.262
128,0.072890318908291,0.725
129,0.11277014444465,0.569
130,0.253512130514814,0.083
131,0.214100310642984,0.12
132,0.137011151821008,0.37
133,0.0461463195549673,0.832
134,0.0672144179589342,0.753
135,0.22385459571149,0.056
136,0.0503221953279456,0.84
137,0.196135929926977,0.197
138,0.215673134386043,0.144
139,0.123590602257673,0.493
140,0.0492568620782561,0.833
141,0.167549734644833,0.283
142,0.188525998628745,0.144
143,0.0374041272539443,0.892
144,0.163826760744397,0.283
145,0.137750599278698,0.292
146,0.0228113349859633,0.964
147,0.193364444148638,0.205
148,0.102720432465848,0.582
149,0.217761977932635,0.119
150,0.0568593050693049,0.804
151,0.10093033114415,0.564
152,0.0511877082279668,0.822
153,0.0530536026203449,0.812
154,0.0973023033804317,0.633
155,0.0320571372221987,0.924
156,0.159574683997293,0.228
157,0.085947185836675,0.598
158,0.122405197447024,0.501
159,0.13520686689798,0.35
160,0.0480272627587569,0.836
161,0.1070406687576,0.534
162,0.136873222061908,0.359
163,0.0253996037924909,0.959
164,0.104832176551995,0.558
165,0.1189188590337,0.456
166,0.234386043159878,0.119
167,0.30705487926132,0.011
168,0.249685970831061,0.136
169,0.0458901340470835,0.859
170,0.121102469736526,0.453
171,0.134954148228528,0.421
172,0.0959305912600904,0.588
173,0.126120721940503,0.445
174,0.165224033221985,0.312
175,0.274596037030593,0.039
176,0.153901593331485,0.37
177,0.111349229532095,0.492
178,0.138645992288179,0.339
179,0.119477727164758,0.56
180,0.0657289578151937,0.772
181,0.190131207838872,0.139
182,0.155919245158092,0.283
183,0.125615053538459,0.388
184,0.312363264701281,0.06
185,0.173599045628098,0.186
186,0.389103183660716,0.006
187,0.100697719784209,0.583
188,0.0890730389633777,0.587
189,0.131409138803135,0.364
190,0.138763789008459,0.398
191,0.137745059220339,0.422
192,0.173739397241619,0.195
193,0.11032171834055,0.506
194,0.094871786698909,0.585
195,0.135693187296342,0.378
196,0.141245219921613,0.254
197,0.133026583143579,0.361
198,0.0764351686516157,0.71
199,0.126569974164291,0.447
200,0.130208309658181,0.429
201,0.115858615392903,0.452
202,0.14495263261291,0.368
203,0.243938287777525,0.149
204,0.0946747300594672,0.593
205,0.284619483903632,0.017
206,0.0310339067898434,0.939
207,0.0886995562575056,0.656
208,0.0357145750366725,0.916
209,0.168120485196819,0.253
210,0.0440169143160491,0.899
211,0.274433959132337,0.137
212,0.1560284124388,0.284
213,0.177817785572149,0.239
214,0.019277902196093,0.971
215,0.215094056115947,0.112
216,0.0250385345679963,0.968
217,0.252446250811238,0.062
218,0.0596099493020577,0.788
219,0.172666479957046,0.214
220,0.207544481897293,0.182
221,0.205395120683025,0.293
222,0.0895410816130559,0.637
223,0.0660028105379311,0.775
224,0.109070391250413,0.482
225,0.134497994030984,0.394
226,0.105871341483719,0.509
227,0.10185153361369,0.633
228,0.102572668146371,0.569
229,0.169315039200273,0.246
230,0.157236032906401,0.313
231,0.0342078453449663,0.94
232,0.182144586437875,0.24
233,0.0760576216629305,0.719
234,0.0973529270505527,0.536
