"replication","mse","coverage"
1,0.31118291970398,0.883
2,0.299255769666111,0.904
3,0.282546291069609,0.909
4,0.253465417487369,0.944
5,0.301340620746806,0.935
6,0.23575507039174,0.931
7,0.321866270580695,0.902
8,0.224451275872876,0.957
9,0.196241214854191,0.947
10,0.357010704603704,0.862
11,0.269158507404447,0.911
12,0.250291363658742,0.912
13,0.26242530542268,0.91
14,0.352778495293141,0.875
15,0.59891695668743,0.736
16,0.354411901136431,0.867
17,0.309789354579814,0.906
18,0.315776796673365,0.901
19,0.245455856275096,0.933
20,0.257207260229912,0.92
21,0.231862199030749,0.94
22,0.347327029648303,0.91
23,0.362476299565459,0.884
24,0.321003539054229,0.888
25,0.291718869818942,0.909
26,0.254869907147643,0.929
27,0.195947531665757,0.953
28,0.347440619558355,0.885
29,0.258410529990395,0.929
30,0.292898022743687,0.918
31,0.209771548010578,0.958
32,0.291560933407603,0.915
33,0.276872312046559,0.882
34,0.382241405831416,0.874
35,0.283029774728397,0.914
36,0.227034317213415,0.933
37,0.43648097333145,0.845
38,0.34539946850113,0.885
39,0.448146495242047,0.847
40,0.297495935497283,0.894
41,0.285278006116945,0.919
42,0.351549745090482,0.888
43,0.238976848110571,0.937
44,0.359571586596355,0.869
45,0.229722790959284,0.945
46,0.396202831269677,0.853
47,0.342317206595133,0.877
48,0.282054231737196,0.914
49,0.316224585868804,0.877
50,0.276025067720593,0.927
51,0.427078552275578,0.869
52,0.410911555617363,0.869
53,0.303407786882235,0.908
54,0.248741066203848,0.931
55,0.350509718912577,0.886
56,0.265389199458238,0.924
57,0.381014784324265,0.857
58,0.294637153527376,0.907
59,0.433818452072778,0.837
60,0.458452447333981,0.843
61,0.299481536979251,0.894
62,0.264836223120362,0.923
63,0.260532090070687,0.932
64,0.266610264656487,0.908
65,0.466385662765999,0.823
66,0.392702458389249,0.881
67,0.318185701186045,0.895
68,0.33684663646942,0.902
69,0.290831415430131,0.897
70,0.331663462124945,0.898
71,0.281364567512994,0.908
72,0.361927968802585,0.885
73,0.297450016808739,0.906
74,0.280865590523274,0.935
75,0.342594408256507,0.899
76,0.336674741820907,0.895
77,0.398981633053477,0.832
78,0.275148486749537,0.91
79,0.253689101409283,0.93
80,0.238222909566123,0.936
81,0.239121869830242,0.928
82,0.348371081497346,0.887
83,0.331592790073627,0.877
84,0.376756592758102,0.876
85,0.326626450099224,0.877
86,0.291722598347813,0.884
87,0.319198632715349,0.919
88,0.306914793499055,0.914
89,0.323213569595598,0.9
90,0.319396564577458,0.905
91,0.283705840126364,0.91
92,0.353924026847113,0.878
93,0.269766667187983,0.916
94,0.39327803783147,0.875
95,0.251018071986939,0.922
96,0.259397260817941,0.91
97,0.311521039614942,0.892
98,0.268775155463367,0.921
99,0.256564515270557,0.928
100,0.430733059350516,0.833
101,0.238919972088926,0.908
102,0.293990265394629,0.909
103,0.273653498025927,0.914
104,0.38607244465964,0.856
105,0.307103997135722,0.892
106,0.381019970253541,0.834
107,0.345485103258653,0.867
108,0.331340087796177,0.899
109,0.24310076146346,0.922
110,0.350366470885447,0.9
111,0.247472945379887,0.935
112,0.308506903082961,0.897
113,0.22265158033804,0.929
114,0.411237920133654,0.868
115,0.33854947695643,0.865
116,0.373209205791026,0.865
117,0.408244434649756,0.864
118,0.270762655655082,0.946
119,0.304641126984744,0.905
120,0.307752738271914,0.903
121,0.322614685887935,0.886
122,0.281429301467757,0.909
123,0.291230033559333,0.915
124,0.297838140550061,0.899
125,0.268452915648932,0.928
126,0.346975837231683,0.876
127,0.335986198142758,0.897
128,0.26148294936577,0.929
129,0.336754446208511,0.9
130,0.439199067220232,0.828
131,0.36102396253465,0.852
132,0.320472162882786,0.902
133,0.239283158768584,0.927
134,0.285567579401053,0.913
