"replication","mse","coverage"
1,0.0345002424104483,0.971
2,0.0466468695104161,0.923
3,0.0412071588107463,0.946
4,0.0342558771601625,0.964
5,0.0360602359683708,0.96
6,0.0459477786733584,0.924
7,0.0432850630366586,0.94
8,0.0442075229909647,0.945
9,0.0487623730819926,0.929
10,0.0342329219164779,0.967
11,0.0433844699366843,0.933
12,0.0527752918968496,0.9
13,0.0394443886334184,0.941
14,0.0417416414762342,0.955
15,0.0348212229842358,0.96
16,0.04723616233475,0.936
17,0.0361996548670356,0.956
18,0.0472174981749173,0.927
19,0.0464453711865635,0.922
20,0.0370769874314032,0.965
21,0.0344174510413259,0.969
22,0.0390054133649162,0.95
23,0.0346564690890189,0.955
24,0.0521880203501319,0.911
25,0.0372214806153314,0.957
