"replication","mse","coverage"
1,0.0644317967614045,0.94
2,0.0762743411555389,0.917
3,0.0836589766678972,0.924
4,0.0714656825034076,0.938
5,0.075775294494793,0.92
6,0.0788635435336622,0.915
7,0.0683111442394218,0.927
8,0.0787930792196871,0.935
9,0.0744757443380775,0.924
10,0.0649216587554668,0.943
11,0.0709642618596432,0.935
12,0.0796155526951811,0.924
13,0.0722059081804702,0.923
14,0.0744550589921768,0.932
15,0.0617314291437671,0.931
16,0.0764001020764974,0.936
17,0.0739002779376604,0.933
18,0.0654277256125329,0.938
19,0.0876067266168172,0.908
20,0.0705003453565679,0.935
21,0.0752810130266186,0.93
22,0.0702094682509073,0.928
23,0.0672959204690366,0.923
24,0.0799830932693991,0.909
25,0.086231277785037,0.912
