"replication","mse","coverage"
1,0.238639661130972,0.956
2,0.304634850513998,0.927
3,0.326516030578737,0.912
4,0.312174713603245,0.917
5,0.302969789029495,0.928
6,0.293693034741766,0.925
7,0.271355246567192,0.924
8,0.31346644387085,0.924
9,0.277447658970065,0.935
10,0.247123358300306,0.938
11,0.272895286337416,0.926
12,0.282236929980938,0.932
13,0.260068579432853,0.927
14,0.277723525299398,0.933
15,0.272174248343107,0.929
16,0.301965337526031,0.919
17,0.286488629430399,0.921
18,0.278910517665055,0.932
19,0.316610242851721,0.905
20,0.289700058551923,0.924
21,0.294075668558369,0.931
22,0.285254376125557,0.924
23,0.260138633956523,0.943
24,0.283277620829031,0.92
25,0.278192731666291,0.931
