"replication","mse","coverage"
1,0.0255332623871261,0.972
2,0.0349020175141563,0.943
3,0.0200806184068191,0.986
4,0.0349012873286747,0.946
5,0.0323192569195356,0.946
6,0.0426860338074524,0.922
7,0.024684249571267,0.969
8,0.030565625460577,0.955
9,0.0307355254354383,0.955
10,0.0264463507399858,0.96
11,0.0380432792229187,0.95
12,0.036341295742899,0.925
13,0.0227033280405608,0.977
14,0.032607520560093,0.945
15,0.0255901261522526,0.956
16,0.0277350345491035,0.969
17,0.02680736363879,0.966
18,0.0308743913009698,0.956
19,0.0277933769809609,0.97
20,0.0315881240200751,0.955
21,0.026551179010133,0.968
22,0.0258198132238908,0.973
23,0.0349892916540136,0.94
24,0.0250439545869649,0.973
25,0.0261422678218727,0.966
