"replication","mse","coverage"
1,0.0574931523415016,0.912
2,0.0511601964975249,0.938
3,0.0453793112906244,0.932
4,0.0467750918325671,0.95
5,0.0501710102064526,0.943
6,0.0490491374288088,0.919
7,0.0520912260691157,0.923
8,0.0500104767769675,0.928
9,0.0506727413011843,0.937
10,0.0447512582113011,0.948
11,0.0493038091375899,0.924
12,0.0518060781688772,0.937
13,0.0611060355845715,0.911
14,0.0469001231495873,0.945
15,0.0537453564354581,0.925
16,0.0501558776857976,0.932
17,0.0458779780944851,0.942
18,0.0482359755604545,0.938
19,0.0493016044525828,0.943
20,0.0568253809577146,0.927
21,0.044862272872264,0.942
22,0.0498216672188658,0.93
23,0.0469158258936258,0.933
24,0.0625229198040423,0.902
25,0.0447565564302132,0.942
