"replication","mse","coverage"
1,0.288417176664189,0.938
2,0.290244788114184,0.929
3,0.281151344458206,0.918
4,0.314741269132708,0.921
5,0.275872800676257,0.93
6,0.314130388882525,0.905
7,0.277915280482962,0.933
8,0.301128792773917,0.925
9,0.301221484922649,0.918
10,0.267806033794019,0.922
11,0.282775522357488,0.934
12,0.338868584206636,0.911
13,0.26758091926346,0.932
14,0.32697829258901,0.902
15,0.303926023698447,0.923
16,0.305151707109675,0.921
17,0.321909554171631,0.918
18,0.31782596969861,0.922
19,0.305594434103364,0.911
20,0.269844005309481,0.942
21,0.363983005713672,0.901
22,0.288731828357289,0.928
23,0.304371240140354,0.929
24,0.306111549116386,0.921
25,0.307282414035217,0.903
