"replication","mse","coverage"
1,0.0349962932253567,0.955
2,0.0322770469479999,0.961
3,0.0367379281124467,0.956
4,0.0356112480805962,0.948
5,0.041425247784238,0.936
6,0.0376184083850775,0.932
7,0.0373594895057042,0.935
8,0.0466276391362476,0.922
9,0.0405485489347385,0.946
10,0.0301871259665449,0.963
11,0.0385887727381284,0.945
12,0.0468584120085219,0.938
13,0.0289725179494457,0.977
14,0.0349360342992301,0.951
15,0.0406567540286225,0.936
16,0.0438886875780845,0.932
17,0.0451678103983674,0.937
18,0.0409103231976032,0.931
19,0.0444076979260647,0.925
20,0.0323629264402314,0.955
21,0.0423527598182997,0.952
22,0.0347489647988263,0.964
23,0.0355565730072896,0.966
24,0.0398766625283507,0.944
25,0.0420326124767101,0.933
