"replication","mse","coverage"
1,0.0709139052954706,0.867
2,0.074275839869882,0.867
3,0.0639571004384709,0.891
4,0.085609906081824,0.836
5,0.0690651528705871,0.864
6,0.0745008709266693,0.852
7,0.0692454679748981,0.858
8,0.0893613112426369,0.814
9,0.0692213630120616,0.875
10,0.0558802023413401,0.906
11,0.0782442702907704,0.856
12,0.0789032544845063,0.862
13,0.0658254575682383,0.888
14,0.0804486307613401,0.844
15,0.0777627746773316,0.859
16,0.0764409333070242,0.848
17,0.0691984798705513,0.87
18,0.0782240165621487,0.844
19,0.080046008548022,0.835
20,0.0736704057170575,0.864
21,0.0914702644505454,0.827
22,0.0649577791442497,0.896
23,0.0791071807015708,0.838
24,0.0783820570617322,0.84
25,0.0845497805359103,0.813
