"replication","mse","coverage"
1,0.046431045959046,0.899
2,0.0383810754766185,0.933
3,0.0279881848448579,0.958
4,0.035765435168843,0.944
5,0.0276353423991173,0.956
6,0.0330834078398438,0.948
7,0.0239402470624758,0.973
8,0.022785844292649,0.975
9,0.0172989950647843,0.985
10,0.0300228942447694,0.954
11,0.0329532607101317,0.952
12,0.0231553217902761,0.969
13,0.0295974104702614,0.962
14,0.0279113592916628,0.968
15,0.0304085206321214,0.96
16,0.0259000415904974,0.977
17,0.0252968976192653,0.967
18,0.0275655394199969,0.958
19,0.0208499204105597,0.979
20,0.0302066834744288,0.952
21,0.0272160925485823,0.957
22,0.0237410549769263,0.981
23,0.0212986182127108,0.982
24,0.0287469296268592,0.958
25,0.0255182448081772,0.973
