"replication","mse","coverage"
1,0.0288740620260702,0.975
2,0.0372312241616062,0.947
3,0.0346299468115108,0.952
4,0.0263091379638469,0.967
5,0.0281960389862913,0.959
6,0.0366684954323309,0.941
7,0.0344300878524019,0.956
8,0.0365335464962794,0.935
9,0.0379204865485003,0.946
10,0.0358137649844246,0.951
11,0.0243379705875434,0.978
12,0.0331750940943375,0.954
13,0.0338491619769188,0.941
14,0.0410746262968982,0.93
15,0.0282317199132548,0.968
16,0.0269108704600063,0.959
17,0.0255830943196619,0.975
18,0.0284742722560597,0.975
19,0.0273471341371698,0.968
20,0.0550673142879552,0.904
21,0.0376942175763779,0.948
22,0.0482715949811212,0.9
23,0.030195687276823,0.975
24,0.0254780587901403,0.966
25,0.0264540855168351,0.967
