"replication","mse","coverage"
1,0.372962948643182,0.889
2,0.35215300917266,0.905
3,0.301145790409882,0.928
4,0.356245469676554,0.908
5,0.324265139048609,0.913
6,0.303954764072385,0.917
7,0.322383715340071,0.912
8,0.314123650992373,0.904
9,0.330495495773424,0.916
10,0.325690393267507,0.913
11,0.347700352529332,0.902
12,0.320484379585396,0.914
13,0.321880647308578,0.917
14,0.323181148195417,0.923
15,0.308799920182216,0.93
16,0.346115732901607,0.92
17,0.342337778235332,0.896
18,0.320209247457738,0.927
19,0.338006865328656,0.905
20,0.314004736372617,0.927
21,0.349681301150004,0.902
22,0.322488428859337,0.914
23,0.352237016558606,0.891
24,0.363104123409011,0.903
25,0.340180524037554,0.902
