"replication","mse","coverage"
1,0.293313842044858,0.928
2,0.26913886743292,0.934
3,0.255383623967952,0.947
4,0.312099138589539,0.925
5,0.273237101812644,0.939
6,0.299277624388125,0.906
7,0.275492305159895,0.932
8,0.311358776240501,0.918
9,0.255895446771331,0.94
10,0.290263130260202,0.92
11,0.313093875995949,0.916
12,0.292367434487814,0.925
13,0.307431183194683,0.907
14,0.291530247424071,0.931
15,0.287811000655186,0.922
16,0.285971509287622,0.92
17,0.280498470698103,0.93
18,0.297926080600425,0.925
19,0.307371536854674,0.916
20,0.31672156531706,0.915
21,0.308298678709677,0.921
22,0.296634853799054,0.926
23,0.265226554163083,0.938
24,0.285219358162089,0.93
25,0.27477644429511,0.935
