"replication","mse","coverage"
1,0.279457432057913,0.929
2,0.327773858374941,0.914
3,0.321061828953133,0.92
4,0.298231283789238,0.92
5,0.298913157495172,0.921
6,0.291820044134668,0.921
7,0.281128497100745,0.938
8,0.30695986748512,0.904
9,0.333658261460082,0.906
10,0.30755306252459,0.906
11,0.30239392241642,0.927
12,0.322751644242412,0.917
13,0.298769347481585,0.917
14,0.305790672780281,0.923
15,0.289289756227551,0.931
16,0.313487206820581,0.919
17,0.325271804845923,0.915
18,0.279991058704457,0.928
19,0.291670856193399,0.931
20,0.387395026284313,0.883
21,0.334152274874043,0.919
22,0.33185084324519,0.917
23,0.331144998698418,0.911
24,0.296607683777004,0.924
25,0.276878047256029,0.937
