"replication","mse","coverage"
1,0.222732089201826,0.936
2,0.197679892647506,0.931
3,0.15739831241829,0.957
4,0.20634188280971,0.937
5,0.201608336699319,0.93
6,0.231841736393561,0.922
7,0.194313308445945,0.931
8,0.205237545781558,0.936
9,0.199399714289838,0.933
10,0.209107058803199,0.938
11,0.18209843411344,0.938
12,0.229361503389872,0.913
13,0.184128586638184,0.946
14,0.19983776850294,0.944
15,0.196085144534491,0.943
16,0.203520856790795,0.936
17,0.197897242163423,0.945
18,0.188049331053981,0.938
19,0.177296201886723,0.96
20,0.195646010751041,0.94
21,0.219413022152573,0.93
22,0.202430104822523,0.918
23,0.217326109979487,0.927
24,0.205731774187054,0.926
25,0.205735089710369,0.936
26,0.205064248952934,0.924
27,0.200510414444457,0.945
28,0.215133731860224,0.928
29,0.188692189301839,0.942
30,0.19921142245776,0.937
31,0.224304342801138,0.927
32,0.19361849840892,0.936
33,0.216912666616585,0.924
34,0.219619151893347,0.917
35,0.197279628403054,0.93
36,0.207865597800968,0.933
37,0.193810917674994,0.934
38,0.193323778722346,0.937
39,0.183994988948774,0.946
40,0.187783289823006,0.944
