"replication","mse","coverage"
1,0.163188829648153,0.576
2,0.13352338726081,0.623
3,0.132244794292654,0.62
4,0.150977098629547,0.597
5,0.132398850462264,0.561
6,0.143840564958117,0.546
7,0.149577141905373,0.586
8,0.137701607197347,0.559
9,0.163928492342777,0.565
10,0.122618766986561,0.637
11,0.161054709767823,0.573
12,0.134783819936152,0.603
13,0.144455650617443,0.549
14,0.138018197218507,0.584
15,0.161453549227796,0.534
16,0.115728962846012,0.651
17,0.159068488892952,0.569
18,0.152641058831738,0.606
19,0.151570714151681,0.546
20,0.164197486497081,0.52
21,0.146553048089683,0.573
22,0.171582138264912,0.562
23,0.158994074022033,0.538
24,0.146138233383363,0.632
25,0.163799216254516,0.552
26,0.131744969670963,0.593
27,0.147455924623905,0.554
28,0.143157896528432,0.563
29,0.139357433948011,0.581
30,0.150152744785669,0.604
31,0.154208438465115,0.575
32,0.15355164822066,0.614
33,0.149263502159506,0.59
34,0.152993237199805,0.575
35,0.132396678709129,0.591
36,0.137261738066884,0.615
37,0.145389076088692,0.544
38,0.146968390907617,0.586
39,0.145080905628505,0.623
40,0.147452099096444,0.527
