"replication","mse","coverage"
1,0.195670526618089,0.941
2,0.207294052705494,0.938
3,0.197026336525957,0.916
4,0.195319453944742,0.944
5,0.196669658867616,0.933
6,0.188937406333661,0.95
7,0.221071200002822,0.925
8,0.180037175405267,0.937
9,0.197710727403379,0.941
10,0.211881607259991,0.928
11,0.212164551247574,0.939
12,0.22487638571404,0.93
13,0.196959087505607,0.931
14,0.192179637959318,0.946
15,0.201358504810076,0.939
16,0.189724617026389,0.942
17,0.231460249567478,0.919
18,0.1960899943965,0.937
19,0.193510607901104,0.947
20,0.221400832716363,0.927
21,0.18417563300899,0.941
22,0.19778887179895,0.936
23,0.212271087877334,0.919
24,0.196480892564882,0.944
25,0.203445379000701,0.931
26,0.207091832755826,0.934
27,0.205978663721782,0.929
28,0.183969980927187,0.946
29,0.201204263006413,0.934
30,0.202942363464401,0.932
31,0.188892078869494,0.937
32,0.217428663580767,0.912
33,0.231700867996636,0.914
34,0.192873099481378,0.936
35,0.198554588370905,0.943
36,0.191331304112858,0.942
37,0.194833689655918,0.933
38,0.194484058337875,0.948
39,0.221957523168955,0.932
40,0.203058743463492,0.939
