"replication","mse","coverage"
1,0.0275044422706021,0.895
2,0.0226102065589768,0.911
3,0.0193582755849995,0.923
4,0.024537502964264,0.889
5,0.0202937980281608,0.913
6,0.020465147068471,0.916
7,0.016048065969582,0.939
8,0.0251499924382998,0.877
9,0.020550888653859,0.917
10,0.0230962145532239,0.904
11,0.0175899833962394,0.924
12,0.0238435527704757,0.912
13,0.0134171773881552,0.962
14,0.0199216688936043,0.918
15,0.0232741525965568,0.885
16,0.0140545695847746,0.965
17,0.0186436127050896,0.931
18,0.0177735062255982,0.923
19,0.0251744975080836,0.891
20,0.0206194051699851,0.91
21,0.0238777290543731,0.899
22,0.0276995705878407,0.856
23,0.020310757840892,0.908
24,0.0178144593431579,0.936
25,0.0308197235578079,0.822
26,0.0170743220719511,0.939
27,0.017568338889311,0.932
28,0.023635111497216,0.893
29,0.0223250646289852,0.909
30,0.0273210769062181,0.885
31,0.0245456075223505,0.885
32,0.0237202457143021,0.885
33,0.0256008016351794,0.875
34,0.0183172237859504,0.924
35,0.013936197528456,0.959
36,0.0172988482992728,0.933
37,0.0259461193045003,0.875
38,0.0243696933371088,0.894
39,0.0152064674158544,0.945
40,0.0158251235380553,0.941
