"replication","mse","coverage"
1,0.0192203123686707,0.932
2,0.0194469951130929,0.934
3,0.0186737943509848,0.927
4,0.0205868244659955,0.915
5,0.0189542122426021,0.935
6,0.0219464788457748,0.914
7,0.0172786811444637,0.947
8,0.0187118816960489,0.92
9,0.0166947791721974,0.953
10,0.0233224186419073,0.915
11,0.0277326842626379,0.877
12,0.018792008763139,0.913
13,0.0190117615713026,0.945
14,0.0224435323873857,0.919
15,0.0160699557988468,0.957
16,0.0255027069637523,0.9
17,0.0246480586853211,0.895
18,0.017766518001335,0.934
19,0.0170712259720038,0.954
20,0.0156792046268634,0.944
21,0.0203412329286287,0.926
22,0.014811273392091,0.963
23,0.0148737768448282,0.953
24,0.0176541210456429,0.934
25,0.0175923232519041,0.935
26,0.0245782912611543,0.903
27,0.0175149547679378,0.939
28,0.0146442049690558,0.957
29,0.0170279084243127,0.943
30,0.0148594823514901,0.953
31,0.0185414383752469,0.935
32,0.0154829755227005,0.962
33,0.026372734059493,0.888
34,0.017889358272761,0.937
35,0.0221992206229534,0.907
36,0.0186023095732317,0.932
37,0.0225125755455552,0.919
38,0.0161034329642686,0.948
39,0.0196117069866963,0.935
40,0.0190226298183741,0.926
