"replication","mse","coverage"
1,0.0304184648264191,0.924
2,0.0298714787284829,0.925
3,0.0270533726337286,0.931
4,0.0259077312197533,0.939
5,0.029844306802139,0.907
6,0.0382247104998398,0.892
7,0.0277571923975152,0.934
8,0.0316034621311824,0.916
9,0.0323401950464725,0.91
10,0.0281134371229864,0.93
11,0.0245618850205197,0.953
12,0.0338100161232419,0.906
13,0.0350110225442792,0.904
14,0.0248980089298839,0.953
15,0.0261308072831667,0.928
16,0.0274025781838302,0.929
17,0.0265435223462309,0.943
18,0.0371886219285478,0.898
19,0.0226782707449599,0.937
20,0.0308586247975691,0.898
21,0.0311080749909321,0.931
22,0.0253931970493343,0.94
23,0.0314068942933966,0.911
24,0.0291482359643411,0.931
25,0.0322392953587015,0.918
26,0.0356660001767487,0.895
27,0.0307645374610221,0.921
28,0.0323613453122994,0.905
29,0.0267187933344601,0.933
30,0.0297193042335406,0.935
31,0.0334702006114295,0.919
32,0.0287551028350359,0.928
33,0.0329650926948931,0.911
34,0.0334868437018669,0.92
35,0.0304064741181242,0.923
36,0.0292922466020023,0.914
37,0.03207712813608,0.905
38,0.0235322749457282,0.945
39,0.0259927732506306,0.938
40,0.0292980269022514,0.933
