"replication","mse","coverage"
1,0.0180043783372966,0.944
2,0.0185191727055008,0.954
3,0.0211150878505628,0.936
4,0.0214667943959307,0.924
5,0.0216542570756856,0.928
6,0.0217928079143823,0.919
7,0.0201377450962828,0.926
8,0.0178368157825041,0.951
9,0.0243621537345318,0.917
10,0.0221618702511219,0.923
11,0.0249189536151577,0.925
12,0.022070686456475,0.932
13,0.0215788826059353,0.918
14,0.0180919859930058,0.943
15,0.016774109228379,0.964
16,0.0222333008929452,0.928
17,0.0252651616412192,0.908
18,0.0188221502083026,0.952
19,0.0215802328996048,0.923
20,0.0248472094718191,0.92
21,0.0228846308635446,0.929
22,0.0194139490626629,0.946
23,0.0235036468158137,0.902
24,0.0242301763635283,0.924
25,0.0186520856970076,0.943
26,0.0222422222731838,0.912
27,0.0201825837344175,0.928
28,0.0154487880811737,0.951
29,0.026413601176167,0.907
30,0.0228334428254723,0.912
31,0.0206976743650543,0.934
32,0.0216090106370675,0.926
33,0.0273770196082927,0.89
34,0.0270229702979907,0.904
35,0.0223801381551343,0.93
36,0.0216847549660252,0.924
37,0.0227459961445931,0.913
38,0.0272016180776243,0.904
39,0.0241254521013649,0.924
40,0.0183686483049284,0.944
