"replication","mse","coverage"
1,0.239046744537549,0.407
2,0.248712406728972,0.458
3,0.257650159161905,0.429
4,0.257745757365473,0.5
5,0.251799202575489,0.478
6,0.280027603933584,0.445
7,0.2686762686527,0.417
8,0.25729143077506,0.471
9,0.288559848286874,0.4
10,0.253527044313006,0.427
11,0.277852815437679,0.497
12,0.262285047602925,0.418
13,0.240895758611488,0.479
14,0.277628169262653,0.46
15,0.282729146280922,0.467
16,0.266195223761639,0.443
17,0.303195613005462,0.428
18,0.269647307278093,0.501
19,0.257994773141461,0.421
20,0.284670153790227,0.425
21,0.246338996612707,0.472
22,0.274313749937285,0.477
23,0.266178025719582,0.484
24,0.273877875320847,0.438
25,0.27752221260624,0.43
26,0.249194592524864,0.44
27,0.286559109442144,0.402
28,0.263270256486089,0.475
29,0.266675813783984,0.477
30,0.22805200849918,0.478
31,0.255657260619026,0.479
32,0.273245198957004,0.452
33,0.271036444529575,0.415
34,0.256189539762614,0.429
35,0.259853793620033,0.466
36,0.234667542207732,0.478
37,0.241771055675084,0.514
38,0.271383338102676,0.407
39,0.25832824447318,0.435
40,0.299251800675734,0.385
