"replication","mse","coverage"
1,0.0165923388495899,0.945
2,0.0198110061520077,0.912
3,0.0337889179137408,0.818
4,0.0174267960613368,0.911
5,0.0179224510433055,0.928
6,0.0223261470580483,0.89
7,0.0272043554823793,0.869
8,0.0221577282713094,0.908
9,0.0191061041197549,0.916
10,0.025003861363085,0.863
11,0.0279795782829918,0.867
12,0.0190263857404726,0.919
13,0.024325206883936,0.892
14,0.024696868817897,0.884
15,0.0213692933142575,0.898
16,0.0239694189394344,0.895
17,0.0267563700998024,0.857
18,0.0202932614637495,0.915
19,0.0179032947440977,0.928
20,0.0255089735596815,0.871
21,0.0216590076979628,0.894
22,0.0157368320638121,0.935
23,0.0276413147297955,0.877
24,0.0292742828424319,0.854
25,0.0218904687131963,0.905
26,0.0183681626005062,0.915
27,0.0196503554606886,0.937
28,0.0192120002177777,0.924
29,0.0194441370375857,0.917
30,0.0167621341571316,0.922
31,0.0202771801954666,0.923
32,0.0194084803204944,0.928
33,0.015528683415163,0.948
34,0.0188938499680184,0.932
35,0.0190442636188765,0.915
36,0.0203644237170149,0.913
37,0.017251222184359,0.929
38,0.0222881426704068,0.913
39,0.0199529491401939,0.911
40,0.0282122545904407,0.865
