"replication","mse","coverage"
1,0.0172303203345271,0.953
2,0.0223662316429592,0.917
3,0.0195838910103134,0.925
4,0.0179701199541391,0.929
5,0.0152950042405177,0.941
6,0.0215467647895652,0.902
7,0.0238241143696162,0.909
8,0.022222209948304,0.904
9,0.0201397404236725,0.915
10,0.0182830116519423,0.929
11,0.0110939519120276,0.969
12,0.0276209687989043,0.877
13,0.012713545242036,0.958
14,0.0244999500967269,0.885
15,0.016823966448877,0.95
16,0.0202147885962804,0.931
17,0.0181290248190825,0.923
18,0.0178875260364844,0.931
19,0.0269928521778765,0.893
20,0.0252514956102164,0.911
21,0.0176381462490403,0.933
22,0.0153629382397838,0.953
23,0.0184405341464813,0.935
24,0.0148775304103596,0.959
25,0.020210814414652,0.93
26,0.0217072744157256,0.894
27,0.0142484921687182,0.952
28,0.0194549398059181,0.91
29,0.0180560638384972,0.928
30,0.021327358868345,0.92
31,0.021240702439715,0.925
32,0.0197169724068504,0.926
33,0.0193718548471259,0.915
34,0.0195348938278235,0.925
35,0.0179931185808124,0.941
36,0.0183695041488621,0.94
37,0.0159407603689959,0.947
38,0.0197160027103027,0.918
39,0.0230403677912065,0.907
40,0.0229642749302493,0.916
