"replication","mse","coverage"
1,0.277557729968268,0.917
2,0.291504614226265,0.899
3,0.289560854058934,0.913
4,0.308218475004574,0.896
5,0.264590373313463,0.903
6,0.283964441400841,0.895
7,0.298810343991744,0.899
8,0.270821568914623,0.906
9,0.283521218140062,0.907
10,0.281924524902687,0.895
11,0.332636170743272,0.886
12,0.297199261534972,0.893
13,0.276749854190427,0.926
14,0.306481745542247,0.884
15,0.311407911080975,0.88
16,0.283688549245866,0.906
17,0.326163296595416,0.886
18,0.290997427609284,0.892
19,0.298316316147468,0.881
20,0.310946141959141,0.891
21,0.316138974817535,0.871
22,0.274179325092465,0.914
23,0.30302646533154,0.889
24,0.328159851517711,0.875
25,0.278610129294769,0.894
26,0.266917631760267,0.906
27,0.292125570067908,0.902
28,0.280866155991884,0.891
29,0.289289723516534,0.9
30,0.299623426863757,0.884
31,0.274633465870469,0.911
32,0.281221328409556,0.889
33,0.331077400809937,0.873
34,0.294561428513714,0.893
35,0.278449251530397,0.925
36,0.268827193207205,0.913
37,0.303818259753181,0.896
38,0.296351919588269,0.897
39,0.272501734045456,0.915
40,0.313773979425002,0.874
