"replication","mse","coverage"
1,0.0817389979835447,0.699
2,0.0828111040556595,0.725
3,0.0789363460516231,0.728
4,0.0906932419628745,0.691
5,0.0742456356073501,0.724
6,0.102215232735167,0.631
7,0.0928154103974116,0.644
8,0.105085771913311,0.613
9,0.100339055496099,0.628
10,0.0807487420641444,0.711
11,0.0881093082307932,0.682
12,0.0950982116172823,0.672
13,0.0889611374557938,0.66
14,0.0943209857353438,0.671
15,0.0991145938195287,0.635
16,0.077552011915401,0.685
17,0.103645780152264,0.616
18,0.0832605473583417,0.712
19,0.104597536843717,0.658
20,0.0885683510613106,0.682
21,0.0859735624163993,0.707
22,0.0897493320093407,0.669
23,0.0948921760716967,0.657
24,0.0740664855431144,0.735
25,0.0874282443465453,0.696
26,0.0971371251174246,0.674
27,0.0981283945366639,0.639
28,0.0916381806388439,0.7
29,0.0920252534350927,0.691
30,0.0935362499868759,0.684
31,0.101313644309712,0.627
32,0.100054503134981,0.655
33,0.0938375626208348,0.667
34,0.100097487657694,0.634
35,0.0822693416463615,0.689
36,0.104927570124445,0.656
37,0.0852835778577996,0.694
38,0.0738307795752756,0.717
39,0.107758323627251,0.632
40,0.104131303152372,0.658
