"replication","mse","coverage"
1,0.0534715710872813,0.779
2,0.0544948990379328,0.795
3,0.0472385994590235,0.804
4,0.0421573852960385,0.845
5,0.0429922629616978,0.845
6,0.0539314924286036,0.781
7,0.0492132702583348,0.815
8,0.0596214890570227,0.763
9,0.0536896509315156,0.775
10,0.0546848689013786,0.797
11,0.0565160356140866,0.782
12,0.0531422082104241,0.77
13,0.0573647277401663,0.778
14,0.0527315406830551,0.807
15,0.0506604138019795,0.786
16,0.0470013064438667,0.814
17,0.0553991132750801,0.796
18,0.0500087845612377,0.824
19,0.0489188142785656,0.816
20,0.0526635170196857,0.777
21,0.0556570547154783,0.792
22,0.0487488573671506,0.799
23,0.0335465939013589,0.897
24,0.05231315875089,0.796
25,0.0481479256689758,0.83
26,0.0538219526342827,0.77
27,0.0471705620393932,0.814
28,0.0437825376902988,0.829
29,0.0477938703379271,0.811
30,0.0448133070472432,0.816
31,0.0553753431822997,0.772
32,0.0470468202243532,0.826
33,0.0658463737796336,0.719
34,0.0600420415723032,0.753
35,0.0573719551536935,0.76
36,0.0518672952120812,0.796
37,0.0568324776873534,0.794
38,0.0435760300437928,0.836
39,0.059519963946424,0.765
40,0.0445294936422792,0.837
