"replication","mse","coverage"
1,0.21965141646202,0.939
2,0.219942341240558,0.935
3,0.223535476596635,0.926
4,0.216555293768215,0.926
5,0.211183533590606,0.933
6,0.230003422011378,0.924
7,0.25538834490886,0.901
8,0.231926978237734,0.91
9,0.221270306649017,0.927
10,0.221664812086552,0.93
11,0.236019402230156,0.921
12,0.21109085660011,0.94
13,0.213966091171647,0.919
14,0.212209907823454,0.938
15,0.18927788036213,0.94
16,0.223374843444781,0.932
17,0.222017973504218,0.925
18,0.206298742585322,0.939
19,0.236959429291872,0.923
20,0.209031211494867,0.938
21,0.202974019989066,0.943
22,0.207745485922945,0.938
23,0.21902382382563,0.925
24,0.212608387983585,0.932
25,0.233046076507438,0.922
26,0.21094651695081,0.935
27,0.222361173876435,0.933
28,0.233836661545222,0.915
29,0.234485133313585,0.924
30,0.224547676122669,0.919
31,0.211799813920927,0.949
32,0.216155453427748,0.934
33,0.25411836770247,0.916
34,0.215590736555536,0.937
35,0.23540970984583,0.914
36,0.240262242148954,0.924
37,0.213659002698797,0.937
38,0.234565246739133,0.918
39,0.237491037332079,0.928
40,0.21827155405105,0.935
